"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","102","api","stakes","","","","Get the highest and lowest balance address",""
"passed","Mon Aug 14 14:36:14 GMT 2023","Mon Aug 14 14:36:14 GMT 2023","196","api","txs","","","","Filter transaction",""
"passed","Mon Aug 14 14:36:19 GMT 2023","Mon Aug 14 14:36:19 GMT 2023","206","api","pools","","","","get Data For Pool De Registration",""
"passed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:15 GMT 2023","45","api","stake-lifecycle","","","","get Reward Activities",""
"passed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:15 GMT 2023","42","api","staking-lifecycle","","","","Export stake key report by id",""
"failed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:15 GMT 2023","88","api","staking-lifecycle","","","","Get stake deregistrations by report id",""
"passed","Mon Aug 14 14:36:17 GMT 2023","Mon Aug 14 14:36:17 GMT 2023","40","api","stakes","","","","Get a stake detail by stake key",""
"failed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:15 GMT 2023","45","api","staking-lifecycle","","","","Get all stake key report history",""
"failed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:15 GMT 2023","76","api","staking-lifecycle","","","","Get stake registrations by report id",""
"passed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","50","api","stakes","","","","Get stake balance analytics",""
"passed","Mon Aug 14 14:36:17 GMT 2023","Mon Aug 14 14:36:17 GMT 2023","33","api","stakes","","","","Get delegation history of stake key",""
"passed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","42","api","stake-lifecycle","","","","get Stake Registrations",""
"failed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","97","api","stake-lifecycle","","","","get Withdrawals",""
"passed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","105","api","stakes","","","","get Data For Stake Registration",""
"failed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:15 GMT 2023","59","api","staking-lifecycle","","","","Get stake delegations by report id",""
"passed","Mon Aug 14 14:36:17 GMT 2023","Mon Aug 14 14:36:19 GMT 2023","1979","api","pools","","","","get Data For Pool Registration",""
"passed","Mon Aug 14 14:36:17 GMT 2023","Mon Aug 14 14:36:17 GMT 2023","44","api","stakes","","","","Get reward transaction of stake key",""
"passed","Mon Aug 14 14:36:12 GMT 2023","Mon Aug 14 14:36:13 GMT 2023","1188","api","Sign-in","","","","Sign-in",""
